date,equity
2018-01-17,1.2648508571148063
2018-01-18,1.2605221028086304
2018-01-19,1.259155578992448
2018-01-20,1.259155578992448
2018-01-21,1.259155578992448
2018-01-22,1.270851629519254
2018-01-23,1.2747635864747355
2018-01-24,1.2699074024631627
2018-01-25,1.2821917310919615
2018-01-26,1.2945798158164308
2018-01-27,1.2945798158164308
2018-01-28,1.2945798158164308
2018-01-29,1.2980326391805679
2018-01-30,1.3074224906858238
2018-01-31,1.2883731009826205
2018-02-01,1.3023567533518838
2018-02-02,1.2882576922286684
2018-02-03,1.2882576922286684
2018-02-04,1.2882576922286684
2018-02-05,1.2487639914594202
2018-02-06,1.3114050535555917
2018-02-07,1.3023679733202291
2018-02-08,1.2455117363883792
2018-02-09,1.2550867991044499
2018-02-10,1.2550867991044499
2018-02-11,1.2550867991044499
2018-02-12,1.2660737553295989
2018-02-13,1.2819756290060773
2018-02-14,1.3171916718661865
2018-02-15,1.3305012397408609
2018-02-16,1.3345004447022737
2018-02-17,1.3345004447022737
2018-02-18,1.3345004447022737
2018-02-19,1.3345004447022737
2018-02-20,1.333040472612272
2018-02-21,1.342169965409895
2018-02-22,1.335988448220218
2018-02-23,1.3495608438144437
2018-02-24,1.3495608438144437
2018-02-25,1.3495608438144437
2018-02-26,1.3554860445099186
2018-02-27,1.3386119919625077
